"file","change_type","batch","scientific_effect","notes"
"publications/active/journal-1/algorithm-specification.md","edited","Batch 4","None — new complexity and manuscript-integration sections added; prior sections unchanged.","Nine new sections §§25–33 added: Complexity Analysis — Notation and Scope; A1 Complexity; A2 Complexity; A3 Complexity; A4 Complexity; End-to-End Decision-Episode Complexity; Space Complexity; Complexity Claim Boundaries (with OPEN-B4-1); Manuscript Integration Trace. Batches 1–3 sections (§§1–24) unchanged."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","edited","Batch 4","None — placeholder sections filled with publication-ready content; unrelated sections untouched.","§7 Algorithms: pseudocode summaries for A1–A4 (§§7.1–7.4) plus §7.5 Safety-Dominance Dependency. §8 Complexity Analysis: fixed/generalized/concrete framing; complexity table §8.1; end-to-end §8.2; per-decision vs replay §8.3; low-resource claim boundary §8.4. §9 Prototype Implementation: one-line repair — 'lightweight' removed, replaced with bounded working-memory statement and E5 pointer."
"data/journal1-algorithm-specification/complexity-analysis-batch4.csv","created","Batch 4","None — evidence artefact.","Twenty-two complexity rows across A1, A2, A3, A4, PIPELINE, REPLAY with claim_status (DERIVED / PARAMETERISED / OPEN / ILLUSTRATIVE ONLY)."
"data/journal1-algorithm-specification/complexity-traceability-batch4.csv","created","Batch 4","None — evidence artefact.","Twelve traceability rows per task §28 nine-field schema."
"data/journal1-algorithm-specification/manuscript-integration-batch4.csv","created","Batch 4","None — evidence artefact.","Nine manuscript-integration rows: three edits plus six audit-only entries covering §§5, 6, 10, 11 (unchanged) and naming + low-resource sweeps."
"data/journal1-algorithm-specification/semantic-verification-batch4.json","created","Batch 4","None — evidence artefact.","Twenty-four required semantic checks (per task §29) with evidence and verdict."
"data/journal1-algorithm-specification/parser-test-batch4.json","created (by build.py)","Batch 4","None — evidence artefact.","Machine-verified strict parsing of all Batch 4 CSVs. Auto-generated by build.py after partition extension."
"data/journal1-algorithm-specification/change-map-batch4.csv","created","Batch 4","None — evidence artefact.","This file. Records every Batch 4 file change and scientific effect."
"data/journal1-algorithm-specification/build.py","edited","Batch 4","None — evidence artefact.","partition_csvs() extended: filenames ending -batch4.csv route to the Batch 4 bucket; main() emits parser-test-batch4.json alongside batch1/2/3. Idempotent and read-only against project state."
"data/journal1-algorithm-specification/closure-batch4.json","created","Batch 4","None — evidence artefact.","Closure record for Batch 4 with §32 checklist status, semantic-check summary, stop-condition status, and workstream-closing note."
"data/journal1-algorithm-specification/report-batch4.md","created","Batch 4","None — reporting artefact.","Batch 4 report following §33 required format."
"publications/active/journal-1/algorithm-specification.md","edited","Batch 4 — Final Complexity and Authority Residue Repair","None — bounded wording repair only.","(1) Header status refreshed to reflect Batches 1–4 completed. (2) §10 count sentence 'seven bounded OPEN items' → 'eight bounded OPEN items' (OPEN-B1-8 added by the Batch 1 Transition Consistency Repair). (3) §28 A3 complexity paragraph rewritten: current specified pseudocode always runs the compliance scan, so T_A3_current = T_select(S) + O(k_S); the prevalidated-state-indexed variant is labelled IMPLEMENTATION VARIANT / FUTURE OPTIMISATION, not the current algorithm."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","edited","Batch 4 — Final Complexity and Authority Residue Repair","None — bounded wording repair only in §8.1 A3 row and the accompanying A3 narrative bullet.","A3 row in the §8.1 complexity table rewritten to show T_select(S) + O(k_S) as the current algorithm; the O(1) prevalidated-reference cell removed. A3 narrative bullet in §8.1 rewritten to distinguish the currently specified pseudocode from the prevalidated-at-configuration future optimisation."
"data/journal1-algorithm-specification/complexity-analysis-batch4.csv","edited","Batch 4 — Final Complexity and Authority Residue Repair","None — evidence artefact.","A3 selection / compliance / TOTAL rows rewritten. PIPELINE fixed cell rewritten to remove any suggestion of collapsing to O(1). One additional row added explicitly recording the prevalidated variant as IMPLEMENTATION VARIANT / FUTURE OPTIMISATION."
"data/journal1-algorithm-specification/complexity-traceability-batch4.csv","edited","Batch 4 — Final Complexity and Authority Residue Repair","None — evidence artefact.","A3 rule-set selection and compliance rows rewritten. One additional row added recording the prevalidated variant."
"data/journal1-algorithm-specification/semantic-verification-batch4.json","edited","Batch 4 — Final Complexity and Authority Residue Repair","None — evidence artefact.","Added 13 post-repair checks under `post_repair_checks` (all PASS after repair); refreshed summary to note post-repair PASS/OPEN counts."
"data/journal1-algorithm-specification/closure-batch4.json","edited","Batch 4 — Final Complexity and Authority Residue Repair","None — evidence artefact.","Added post_repair_closure_line and post_repair_note; refreshed A3-related checklist wording; new §Re-verify block covers the 13 post-repair checks."
"data/journal1-algorithm-specification/report-batch4.md","edited","Batch 4 — Final Complexity and Authority Residue Repair","None — reporting artefact.","Post-repair section appended with the closure line JOURNAL 1 ALGORITHM SPECIFICATION AND COMPLEXITY ANALYSIS CLOSED — ALGORITHM 3 COMPLEXITY AND AUTHORITY RESIDUE REPAIRED."
