"algorithm","contract_section","content","authority"
"Algorithm 1","input","obs = (obs_i){i in C} with obs_i in Obs_i = (X_i x T) union {bottom}; v in V union {bottom_cfg}; D subset of C = {w,r,m,o,t} (well-formed by (D1) t not in D and (D2) D strict subset of C — see appendix-c C.2.0.5); tau_now in T; age = (age_i){i in C\D}; date in Date; solar : Date -> (sunrise, sunset)","appendix-c C.2.0.1; C.2.0.5; C.2.0.6"
"Algorithm 1","output","S in {SAFE, CAUTION, UNSAFE} — or a startup refusal (no S returned)","appendix-c C.2 (per component); C.2.0.6 (startup refusal)"
"Algorithm 1","precondition P1","obs is total over C: one observation per component, each element of Obs_i","appendix-c C.2.0.1; C.2.0.2"
"Algorithm 1","precondition P2","date is valid; solar(date) is available from the canonical frozen artefact","appendix-c C.2 g_t canonical implementation; scripts/canonical_gt.py"
"Algorithm 1","precondition P3","For every i in C \ D, age_i is specified (symbolic in this specification; see OPEN-B1-1)","appendix-c C.2.0.4; open-decisions.csv OPEN-B1-1"
"Algorithm 1","precondition P4","D is well-formed against the full condition set C = {w,r,m,o,t}: (D1) t not in D and (D2) D strict subset of C. Given D subset of C and (D1), (D2) follows automatically from t in C \ D. The maximal well-formed exclusion set is D = {w,r,m,o}; algorithm-specification.md §11 lines 5–8 test t in D or D not subset of C and refuse startup on either.","appendix-c C.2.0.5 (D1)–(D2)"
"Algorithm 1","postcondition Q1","If v in V and D is well-formed, exactly one S in {SAFE, CAUTION, UNSAFE} is returned (operational totality)","appendix-c Theorem C.1b"
"Algorithm 1","postcondition Q2","If v not in V, startup is refused and no S is returned. This is not a runtime observation fault","appendix-c C.2.0.6"
"Algorithm 1","postcondition Q3","Any required non-excluded observation that fails validation or freshness yields a component classification of UNSAFE via g_i(bottom) = UNSAFE and Corollary C.1b.1. Rainfall is UNSAFE whenever y_rate = bottom, irrespective of c_obs","appendix-c C.2.0.3–4; Corollary C.1b.1; C.2.0.2 (rainfall structured case)"
"Algorithm 1","postcondition Q4","S = max-severity(s_w, s_r, s_m, s_o, s_t) under UNSAFE > CAUTION > SAFE","appendix-c C.2 Aggregation; Definition C.1"
"Algorithm 1","postcondition Q5","Excluded components (i in D) contribute s_i = SAFE, never bottom. S computed under D non-empty is reported as a lower bound (obligation D3)","appendix-c C.2.0.5 (D3)"
"Algorithm 1","failure_behaviour","Startup / configuration failure refuses to start and returns no S. Runtime observation fault on a required non-excluded component returns a valid S which is UNSAFE by Corollary C.1b.1. The two modes are disjoint","appendix-c C.2.0.5; C.2.0.6; Corollary C.1b.1"
"Algorithm 2","input","S in {SAFE, CAUTION, UNSAFE} — must be a valid output of Algorithm 1 / F_{D,tau}","appendix-c Theorem C.1b; algorithm-specification.md §11–§12"
"Algorithm 2","output","(G(S), A_AI(S)) with G(S) in {0,1} and A_AI(S) subset of R = {Go, Delay, DepartureTime, Duration}","appendix-c C.3; C.4"
"Algorithm 2","precondition P1","S is a valid output of Algorithm 1 — S in {SAFE, CAUTION, UNSAFE} by Theorem C.1b operational totality","appendix-c Theorem C.1b"
"Algorithm 2","postcondition Q1","Exactly one pair (G, A_AI) is returned for every valid S","appendix-c C.3; C.4 (finite mapping)"
"Algorithm 2","postcondition Q2","G(S) matches the mapping in C.3 exactly: G(SAFE) = G(CAUTION) = 1; G(UNSAFE) = 0","appendix-c C.3"
"Algorithm 2","postcondition Q3","A_AI(S) matches the mapping in C.4 exactly: A_AI(SAFE) = FULL; A_AI(CAUTION) = {Go, Delay}; A_AI(UNSAFE) = empty","appendix-c C.4"
"Algorithm 2","postcondition Q4","Participation constraint: G(S) = 0 implies A_AI(S) = empty (case UNSAFE)","appendix-c C.6"
"Algorithm 2","postcondition Q5","Advisory restriction: A_AI(CAUTION) strict subset A_AI(SAFE) (cases CAUTION and SAFE)","appendix-c C.6"
"Algorithm 2","postcondition Q6","Containment: A_AI(SAFE) superset A_AI(CAUTION) superset A_AI(UNSAFE) = empty","appendix-c C.4; Corollary C.2"
"Algorithm 2","bounded_language","Algorithm 2 implements the finite mapping on which Theorem C.2 (Monotonicity) is established. It does not experimentally validate Theorem C.2. Theorem C.2 is proved in C.6","appendix-c C.6; Theorem C.2"
