"file","change_type","batch","scientific_effect","notes"
"publications/active/journal-1/algorithm-specification.md","edited","Batch 3","None — new algorithm specification sections added.","Eight new sections §17–§24: Algorithm 3 pseudocode; A3 pre-/postconditions; Algorithm 4 pseudocode; A4 pre-/postconditions; Batch 3 State and Transition Verification (7 state + 6 transition cases); Safety-Dominance Dependency Trace (4-link chain); Batch 3 Correctness Traceability; Batch 3 Open Implementation Decisions (3 new bounded OPENs). No concrete rules, no engine strategy, no complexity analysis, no canonical file modified. Batches 1 and 2 sections unchanged."
"data/journal1-algorithm-specification/algorithm-contracts-batch3.csv","created","Batch 3","None — evidence artefact.","Twenty-four contract rows across Algorithm 3 (input, output, P1–P4, Q1–Q5, bounded language) and Algorithm 4 (input, output, P1–P5, Q1–Q4, bounded language). Parses under csv.DictReader (strict) and pandas.read_csv."
"data/journal1-algorithm-specification/state-cases-batch3.csv","created","Batch 3","None — evidence artefact.","Seven state-space specification checks SC1–SC7: three Algorithm 3 cases (SAFE/CAUTION/UNSAFE), three Algorithm 4 cases, one invalid-RS-repository case. All PASS."
"data/journal1-algorithm-specification/transition-cases-batch3.csv","created","Batch 3","None — evidence artefact.","Six transition specification checks TC1–TC6 covering all pairwise transitions among SAFE, CAUTION, UNSAFE. All PASS. Not F3 results — F3 remains a future implementation-fidelity test."
"data/journal1-algorithm-specification/safety-dominance-trace-batch3.csv","created","Batch 3","None — evidence artefact.","Four-link dependency chain L1 -> L2 -> L3 -> L4 with per-link category (definition; algorithmic enforcement contract; implementation assumption; formal theorem) and Batch 3 role."
"data/journal1-algorithm-specification/algorithm-traceability-batch3.csv","created","Batch 3","None — evidence artefact.","Sixteen construct rows across six categories (definition; algorithm implementation; formal theorem or property; implementation assumption; future fidelity test; OPEN implementation decision). Bounded-language rule enforced."
"data/journal1-algorithm-specification/open-decisions-batch3.csv","created","Batch 3","None — evidence artefact.","Three new bounded OPEN items OPEN-B3-1..3 (invalid RS runtime handling; rule-engine evaluation strategy; decision-episode implementation boundary). Batch 1 OPEN-B1-1..8 preserved unchanged in open-decisions.csv."
"data/journal1-algorithm-specification/semantic-verification-batch3.json","created","Batch 3","None — evidence artefact.","Twenty-six required semantic checks (per task §27) with evidence and verdict. Twenty-three PASS, three OPEN (invalid_RS_handling_bounded_if_unspecified; rule_engine_strategy_not_invented — bounded OPEN by construction; F1_F3_not_reported_as_results — PASS on the boundary but OPEN as fidelity)."
"data/journal1-algorithm-specification/parser-test-batch3.json","created (by build.py)","Batch 3","None — evidence artefact.","Machine-verified strict parsing of all Batch 3 CSVs. Auto-generated by build.py after partition extension."
"data/journal1-algorithm-specification/build.py","edited","Batch 3","None — evidence artefact.","partition_csvs() extended: filenames ending -batch3.csv route to the Batch 3 bucket; main() emits parser-test-batch3.json alongside batch1/batch2. Idempotent and read-only against project state."
"data/journal1-algorithm-specification/closure-batch3.json","created","Batch 3","None — evidence artefact.","Closure record for Batch 3 with §30 checklist status, semantic-check summary, stop-condition status, and OPEN-items status."
"data/journal1-algorithm-specification/report-batch3.md","created","Batch 3","None — reporting artefact.","Batch 3 report following §31 required format."
